,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,appended_address,latitude,longitude
28,12358M,SWORDS BOROUGH N S,Church Road,Swords,Co. Dublin,,Dublin,Fingal County Council,18407036,Anne Marie Woods,info@oldboroughschool.ie,K67Y179,N,N,N,No subjects through Irish,Church Of Ireland,53.0,53.0,106,K67Y179,53.4574521,-6.223129999999999
29,12448N,GARDINER STREET CONVENT,Gardiner Street,Belvedere Court,Dublin 1,,Dublin,Dublin City Council,18722894,Eileen O'Doherty,eileengardinerstreet@eircom.net,D01H9C5,N,Y,N,No subjects through Irish,Catholic,210.0,197.0,407,D01H9C5,53.3580992,-6.2588875
30,12755W,KILDARE PLACE N S,92/96 Rathmines Road Upper,Dublin 6,,,Dublin,Dublin City Council,14978215,Ian Packham,info@kildareplace.ie,D06XE18,N,N,N,No subjects through Irish,Church Of Ireland,102.0,104.0,206,D06XE18,53.318538,-6.2636198
31,13217W,HOLY FAMILY NATIONAL SCHOOL,Rathcoole,Co. Dublin,,,Dublin,South Dublin County Council,14580570,Colm Byrne,holyfamilyrathcoole@gmail.com,D24XH22,N,N,N,No subjects through Irish,Catholic,336.0,372.0,708,D24XH22,53.2802253,-6.4756846
32,13447Q,SCOIL MHUIRE,Lucan Road,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16280056,Mary Davin,smgns.lucan@gmail.com,K78DK18,N,N,N,No subjects through Irish,Catholic,638.0,,638,K78DK18,53.358935,-6.4399693
33,13611D,PRESENTATION PRIMARY SCHOOL,Warrenmount,Blackpitts,Dublin 8,,Dublin,Dublin City Council,14539547,Grainne Noone,warrenmt@eircom.net,D08XR62,N,Y,N,No subjects through Irish,Catholic,131.0,60.0,191,D08XR62,53.335648,-6.2763376
34,13612F,PRESENTATION PRIMARY SCHOOL,Terenure Road West,Dublin 6W,,,Dublin,Dublin City Council,868678093,Carmel Hume,office@presterenure.ie,D6WAW64,N,N,N,No subjects through Irish,Catholic,582.0,,582,D6WAW64,53.3106506,-6.2881369
35,13815T,HOWTH RD MXD N S,Clontarf Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,18335124,Martha Woolmington,howthrdns@gmail.com,D03E166,N,N,N,No subjects through Irish,Presbyterian,50.0,48.0,98,D03E166,53.3642204,-6.2261522
36,14180H,HOLMPATRICK N S,Convent Lane,Skerries,Co. Dublin,,Dublin,Fingal County Council,18491409,Deirdre MacLean,office@holmpatrickns.ie,K34W573,N,N,N,No subjects through Irish,Church Of Ireland,39.0,41.0,80,K34W573,53.5796754,-6.1075466
37,14463T,ST COLUMBAS N S MXD,North Strand,Dublin 3,,,Dublin,Dublin City Council,18556805,Ann Creaner,principal@stcolumbasns.com,D03NH34,N,N,N,No subjects through Irish,Church Of Ireland,49.0,75.0,124,D03NH34,53.3587253,-6.242270299999999
38,14556D,ST ENDAS PRIMARY SCHOOL,Whitefriar Street,Dublin 8,,,Dublin,Dublin City Council,14757566,Mary Marren,saintendasns@yahoo.ie,D08FW29,N,Y,N,No subjects through Irish,Catholic,57.0,67.0,124,D08FW29,53.3403502,-6.2671613
39,14586M,CARYSFORT NS,Convent Road,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12885803,Norma Linehan,office@carysfortns.ie,A94Y516,N,N,N,No subjects through Irish,Catholic,299.0,297.0,596,A94Y516,53.2971033,-6.183042899999999
40,14647G,DALKEY N S (2),Harbour Road,Dalkey,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12803647,Jennifer Kirwan,stpatricks2@gmail.com,A96RR04,N,N,N,No subjects through Irish,Church Of Ireland,52.0,47.0,99,A96RR04,53.2815787,-6.103026499999999
41,14717B,RATHGAR N S,Rathgar Avenue,Dublin 6,,,Dublin,Dublin City Council,14907661,Ivan Pearson,rathgarns@rathgarns.ie,D06DK35,N,N,N,No subjects through Irish,Methodist,42.0,49.0,91,D06DK35,53.3140678,-6.2754398
42,14917J,ZION PARISH PRIMARY SCHOOL,Bushy Park Road,Rathgar,Dublin 6,,Dublin,Dublin City Council,14910065,Tom Conaty,zionparishschool@gmail.com,D06K062,N,N,N,No subjects through Irish,Church Of Ireland,43.0,50.0,93,D06K062,53.3079547,-6.274682599999999
43,14939T,RATHFARNHAM PARISH N S,Washington Lane,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,14943470,Joyce Perdue,principal@rpns.ie,D14X051,N,N,N,No subjects through Irish,Church Of Ireland,102.0,125.0,227,D14X051,53.29339940000001,-6.303438799999999
44,14980Q,GLASNEVIN N S,Botanic Avenue,Glasnevin,Dublin 9,,Dublin,Dublin City Council,18373727,Olive Walsh,secretary.gns@gmail.com,D09TW63,N,N,N,No subjects through Irish,Church Of Ireland,38.0,46.0,84,D09TW63,53.3725974,-6.267462999999999
45,15056L,S N SAN VINSEANN CAILIN,North William Street,Dublin 1,,,Dublin,Dublin City Council,18740048,Margaret O'Connor,Stvincentsnws@eircom.net,D01XT04,N,Y,N,No subjects through Irish,Catholic,244.0,,244,D01XT04,53.3573928,-6.2466488
46,15132B,HAROLD BOYS N S,St. Patrick's Road,Dalkey,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12856193,Teresa Buckley,info@haroldboysdalkey.ie,A96PY94,N,N,N,No subjects through Irish,Catholic,,132.0,132,A96PY94,53.2784005,-6.103682
47,15253N,ST PATRICKS GIRLS NS,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,16685928,Anne Smith,ringsendgns@gmail.com,D04CH58,N,Y,N,No subjects through Irish,Catholic,162.0,,162,D04CH58,53.34332810000001,-6.2256515
48,15284B,TANEY N S,Sydenham Villas,Dundrum,Dublin 14,,Dublin,Dun Laoghaire Rathdown,12985015,Elizabeth Carpenter,ecarpenter@taneyschool.ie,D14PN29,N,N,N,No subjects through Irish,Church Of Ireland,195.0,239.0,434,D14PN29,53.2887079,-6.2382648
49,15315J,ST GEORGES N S,Naul Road,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18410107,Elaine Browne,office@stgeorgesns.com,K32KC95,N,N,N,No subjects through Irish,Church Of Ireland,183.0,208.0,391,K32KC95,53.6070967,-6.2038442
50,15569R,SCOIL MOIBHI,Milverton,Skerries,Co. Dublin,,Dublin,Fingal County Council,18492467,Maria Lynam,scoilmoibhi.ias@eircom.net,K34WP77,N,N,N,No subjects through Irish,Catholic,36.0,46.0,82,K34WP77,53.5646445,-6.1475341
51,15618E,SANDFORD PARISH NATIONAL SCHOOL,Sandford Close,Ranelagh,Dublin 6,,Dublin,Dublin City Council,14974277,Senan Murray,secretary@sandfordparishns.ie,D06V2V6,N,N,N,No subjects through Irish,Church Of Ireland,118.0,113.0,231,D06V2V6,53.3208795,-6.248168199999999
52,15622S,ST PATRICKS NS,Chapelizod Village,Dublin 20,,,Dublin,Dublin City Council,16265752,Kieran Tierney,chapelizodstpatricks@gmail.com,D20TW71,N,N,N,No subjects through Irish,Catholic,95.0,117.0,212,D20TW71,53.3485735,-6.343371599999999
53,15625B,ST CATHERINES WEST N S,Donore Avenue,South Circular Road,Dublin 8,,Dublin,Dublin City Council,14542679,Karen Jordan,info@stcatherinesns.net,D08YR66,N,N,N,No subjects through Irish,Church Of Ireland,110.0,96.0,206,D08YR66,53.3330962,-6.283232300000001
54,15650A,CORDUFF N S,Lusk,Co. Dublin,,,Dublin,Fingal County Council,18438274,Carola Reynolds,office@corduffns.scoilnet.ie,K45XV34,N,N,N,No subjects through Irish,Catholic,56.0,41.0,97,K45XV34,53.516735,-6.1906869
55,15816I,ST VINCENTS INF BOYS,North William Street,Dublin 1,,,Dublin,Dublin City Council,18363074,Patrick Courtney,stvincentsbns@gmail.com,D01VW63,N,Y,N,No subjects through Irish,Catholic,,107.0,107,D01VW63,53.3570601,-6.2468642
56,15895H,DRUMCONDRA N S,Church Avenue,Drumcondra,Dublin 9,,Dublin,Dublin City Council,18374886,Kate Gleeson,office@drumcondrans.ie,D09VY58,N,N,N,No subjects through Irish,Church Of Ireland,27.0,31.0,58,D09VY58,53.3692582,-6.249537200000001
57,15995L,Star of the Sea,Leahy's Terrace,Sandymount,Dublin 4,,Dublin,Dublin City Council,16686394,Niall Walsh,office@starofthesea.ie,D04XW14,N,N,N,No subjects through Irish,Catholic,,325.0,325,D04XW14,53.3361098,-6.2181304
58,16177F,LINDSAY ROAD N S,LINDSAY ROAD,GLASNEVIN,DUBLIN 9,,Dublin,Dublin City Council,18600247,Stacey Allen,lindsayroadns@hotmail.com,D09YH93,N,N,N,No subjects through Irish,Presbyterian,37.0,54.0,91,D09YH93,53.3648971,-6.264755699999999
59,16267G,ST PATRICKS BOYS NATIONAL SCHOOL,Donabate,Co. Dublin,,,Dublin,Fingal County Council,18436168,Brian Horan,info@stpatsbns.ie,K36W309,N,N,N,No subjects through Irish,Catholic,,394.0,394,K36W309,53.4929602,-6.136250299999999
60,16332O,ST PATRICKS SNR MIXED,Beau Piers Lane,Skerries,Co. Dublin,,Dublin,Fingal County Council,18490945,Michelle Keane,stpatsskerries@gmail.com,K34X751,N,N,N,No subjects through Irish,Catholic,182.0,168.0,350,K34X751,,
61,16333Q,ST PATRICKS JNR MIXED,Beau Piers,Skerries,Co. Dublin,,Dublin,Fingal County Council,18490836,Máire Ní Chroínín,admin@stps.ie,K34D799,N,N,N,No subjects through Irish,Catholic,185.0,163.0,348,K34D799,53.5780488,-6.109407099999999
62,16352U,ST BRIGIDS BOYS N S,Mart Lane,Foxrock,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12893199,Fiona Griffin,principal@stbrigids.ie,D18W406,N,N,N,No subjects through Irish,Catholic,,484.0,484,D18W406,53.2688888,-6.169254899999999
63,16353W,ST BRIGIDS GIRLS N S,The Park,Cabinteely,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12847422,Aedeen Sweeney,scoilbride@eircom.net,D18TN66,N,N,N,No subjects through Irish,Catholic,536.0,,536,D18TN66,53.2614958,-6.1616706
64,16461C,CAISLEAIN NUA LIAMHNA,Main Street,Newcastle,Co. Dublin,,Dublin,South Dublin County Council,14580114,Jonathan Loftus,info@stfiniansprimaryschool.ie,D22A388,N,N,N,No subjects through Irish,Catholic,287.0,295.0,582,D22A388,53.2983355,-6.500621
65,16577V,ST BRIGIDS CONVENT,Finglas Road Old,Glasnevin,Dublin 11,,Dublin,Dublin City Council,18376653,Darina Burke,stbrigid.glasnevin@gmail.com,D11VF95,N,N,N,No subjects through Irish,Catholic,469.0,,469,D11VF95,53.3768599,-6.275603299999999
66,16629O,KILTERNAN CHURCH OF IRELAND NS,Glebe Road,Enniskerry Road,Kilternan,Dublin 18,Dublin,Dun Laoghaire Rathdown,12953235,Gráinne Dunbar,secretary@kcoins.ie,D18A599,N,N,N,No subjects through Irish,Church Of Ireland,104.0,107.0,211,D18A599,53.2427804,-6.200168
67,16651H,ST CLARES CONVENT N S,Harold's Cross Road,Dublin 6W,,,Dublin,Dublin City Council,14963237,Maria Spring,info@stclares.ie,D6WWC86,N,N,N,No subjects through Irish,Catholic,121.0,161.0,282,D6WWC86,53.32655159999999,-6.2756944
68,16659A,ST COLUMBAS CON G & I,Iona Road,Glasnevin,Dublin 9,,Dublin,Dublin City Council,18305040,Eileen Whelan,principal@ionaroadschool.ie,D09YX46,N,N,N,No subjects through Irish,Catholic,392.0,,392,D09YX46,53.3667595,-6.263517999999999
69,16675V,SCOIL NAOMH LUCAIS,Hollywood Road,Tyrellstown,Dublin 15,,Dublin,Fingal County Council,18856015,Vivienne Bourke,katemns@hotmail.com,D15CH64,N,N,N,No subjects through Irish,Catholic,301.0,299.0,600,D15CH64,53.4231681,-6.382457199999999
70,16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,North Brunswick Street,Dublin 7,,,Dublin,Dublin City Council,18722167,Ruth Coghlan,brunnerprimary@gmail.com,D07P529,N,Y,N,No subjects through Irish,Catholic,,150.0,150,D07P529,53.3505046,-6.276760800000001
71,16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,Griffith Avenue,Dublin 9,,,Dublin,Dublin City Council,18334697,Patrick McElwain,stvincentsgns.ias@eircom.net,D09AD80,N,N,N,No subjects through Irish,Catholic,333.0,,333,D09AD80,53.37006539999999,-6.230406899999999
72,16754R,ST VINCENTS CONVENT INF N S,67 Griffith Avenue,Dublin 9,,,Dublin,Dublin City Council,18334538,Catherine Kennedy,principalsvdp@gmail.com,D09AP26,N,N,N,No subjects through Irish,Catholic,185.0,211.0,396,D09AP26,53.3699992,-6.230490700000001
73,16759E,S N MHUIRE NA MBRATHAR,Marino,Dublin 9,,,Dublin,Dublin City Council,18336421,Ben Dorney,smmgriffithave@gmail.com,D09NW62,N,N,N,No subjects through Irish,Catholic,,357.0,357,D09NW62,53.37073909999999,-6.2324421
74,16786H,ST BRIGIDS PRIMARY SCHOOL,The Coombe,Dublin 8,,,Dublin,Dublin City Council,14547734,Deirdre Early,stbrigidsthecoombe@eircom.net,D08E377,N,Y,N,No subjects through Irish,Catholic,188.0,75.0,263,D08E377,53.338755,-6.274930200000001
75,16792C,ST BRIGIDS CONVENT N S,St.Brigid's Road,Killester,Dublin 5,,Dublin,Dublin City Council,18315138,Lorna Diffley,principal@stbrigidsgns.ie,D05YV44,N,N,N,No subjects through Irish,Catholic,422.0,,422,D05YV44,53.3785688,-6.205719600000001
76,16794G,ST BRIGIDS N S,Merville Road,Stillorgan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12833095,Dawn Galbraith,staffbrigidsns@gmail.com,A94X066,N,N,N,No subjects through Irish,Church Of Ireland,48.0,53.0,101,A94X066,53.2853162,-6.196705499999999
77,16844S,SCOIL N. BREANDAN,Loughshinny,Skerries,Co. Dublin,,Dublin,Fingal County Council,18490394,Niall Mulvey,secretary@loughshinnyns.ie,K34T853,N,N,N,No subjects through Irish,Catholic,110.0,95.0,205,K34T853,53.5464518,-6.0901684
78,16860Q,CORPUS CHRISTI N S,Home Farm Road,Drumcondra,Dublin 9,,Dublin,Dublin City Council,18379745,Aisling Downes,ccgns.principal@gmail.com,D09K270,N,N,N,No subjects through Irish,Catholic,439.0,,439,D09K270,53.3748501,-6.2574691
79,16893I,S N NAOMH LORCAN,Upper Kilmacud Road,Stillorgan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12882486,Damian Moran,stlaurencesbns@outlook.ie,A94KD62,N,N,N,No subjects through Irish,Catholic,,447.0,447,A94KD62,53.288529,-6.2071175
80,16964F,SCOIL MHUIRE OGH 1,Crumlin Road,Dublin 12,,,Dublin,Dublin City Council,14541669,Angela Mitchell,loretoseniorprimarycrumlin@gmail.com,D12EH28,N,Y,N,No subjects through Irish,Catholic,146.0,90.0,236,D12EH28,53.3292003,-6.2958826
81,16966J,SCOIL NAISIUNTA STRATFORD,1 Zion Road,Rathgar,Dublin 6,,Dublin,Dublin City Council,14922315,Dr. Helen Heneghan,admin@stratfordcollege.ie,D06E161,N,N,N,No subjects through Irish,Jewish,47.0,46.0,93,D06E161,53.30964520000001,-6.2748588
82,16970A,ST MOLAGA SENIOR NS,Bremore,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18413133,Pauline Costello,stmolaga@gmail.com,K32Y662,N,N,N,No subjects through Irish,Catholic,209.0,259.0,468,K32Y662,53.61583,-6.1904194
83,16972E,S N PEADAR AGUS POL N,Chapel Street,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18412670,Siobhan Whelan,office@sspeterandpauljns.ie,K32PD27,N,N,N,No subjects through Irish,Catholic,213.0,227.0,440,K32PD27,53.6099636,-6.1884352
84,16983J,S N NAOMH CILLIN,Robinhood Road,Bluebell,Dublin 12,,Dublin,South Dublin County Council,14500440,Michelle O'Farrell,office@stcilliansns.net,D12W563,N,Y,N,No subjects through Irish,Catholic,12.0,26.0,38,D12W563,53.3250976,-6.345787100000001
85,16988T,CHRIST THE KING B N S,Annaly Road,Cabra,Dublin 7,,Dublin,Dublin City Council,18680503,Clodagh Vahey,principal@christthekingbns.ie,D07EF63,N,Y,N,No subjects through Irish,Catholic,,108.0,108,D07EF63,53.3635807,-6.285246099999999
86,16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,Annaly Road,Cabra,Dublin 7,,Dublin,Dublin City Council,18680115,Gemma Haughey,christthekingsenior@gmail.com,D07HV12,N,Y,N,No subjects through Irish,Catholic,99.0,,99,D07HV12,53.3636601,-6.2858575
87,17055T,S N NAOMH MHUIRE,Garter's Lane,Saggart,Co. Dublin,,Dublin,South Dublin County Council,14589020,Suzanne Olwill,stmaryssaggart2@gmail.com,D24VW9P,N,N,N,No subjects through Irish,Catholic,345.0,358.0,703,D24VW9P,53.2801014,-6.4421008
88,17083B,S N MUIRE GAN SMAL B,Tyrconnell Road,Inchicore,Dublin 8,,Dublin,Dublin City Council,14541641,Mary O'Mahony,Office@smgs.ie,D08Y9T4,N,Y,N,No subjects through Irish,Catholic,172.0,168.0,340,D08Y9T4,53.33763200000001,-6.3250901
89,17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,Clonshaugh Drive,Priorswood,Dublin 17,,Dublin,Dublin City Council,18470804,Aileen Plunkett,stfrancisjs17@gmail.com,D17KH30,N,Y,N,No subjects through Irish,Catholic,93.0,107.0,200,D17KH30,53.4035234,-6.204937699999999
90,17110B,NAOMH LORCAN O TUATHAIL SENIOR BOYS,Seville Place,Dublin 1,,,Dublin,Dublin City Council,18363490,Mark Candon,info@larriers.ie,D01A439,N,Y,N,No subjects through Irish,Catholic,,65.0,65,D01A439,53.3531329,-6.2437706
91,17148D,S N EOIN BAISDE GIRLS SENIOR,Seafield Road West,Clontarf,Dublin 3,,Dublin,Dublin City Council,18331888,Anne McCarthy,info@belgroveseniorgirls.ie,D03T803,N,N,N,No subjects through Irish,Catholic,407.0,,407,D03T803,53.3636531,-6.1994126
92,17210F,CLOCHAR LUGHAIDH CAILIN,Williams Park,Rathmines,Dublin 6,,Dublin,Dublin City Council,14976098,Dolores Hanrahan,principal@stlouisschool.net,D06XR52,N,N,N,No subjects through Irish,Catholic,252.0,199.0,451,D06XR52,53.3245012,-6.268578799999999
93,17211H,CLOCHAR LUGHAIDH NAOIDH,Williams Park,Rathmines,Dublin 6,,Dublin,Dublin City Council,14972188,Dr Ann Noelle Bennett,principal@stlouis.ie,D06FD92,N,N,N,No subjects through Irish,Catholic,152.0,143.0,295,D06FD92,53.3246405,-6.2676013
94,17214N,St. Vincent's Primary School,St Philomenas Road,Glasnevin,Dublin 11,,Dublin,Dublin City Council,18302328,Edward Sewell,office@vincentsprimary.com,D11HX78,N,N,N,No subjects through Irish,Catholic,,283.0,283,D11HX78,53.3676579,-6.2750058
95,17263D,S N MUIRE AN SEAN BAILE,Oldtown,Co. Dublin,,,Dublin,Fingal County Council,18432060,Jane Kirwan,oldtownns@gmail.com,A45YD60,N,N,N,No subjects through Irish,Catholic,28.0,34.0,62,A45YD60,53.5244717,-6.3185069
96,17318C,SCOIL AN LEINBH IOSA BOYS SENIORS,Larkhill Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,18372472,Cathy Timmons,secretary@holychildbns.ie,D09K104,N,N,N,No subjects through Irish,Catholic,,281.0,281,D09K104,53.38483530000001,-6.2461083
97,17355I,MUIRE NA DEA COIRLE GIRLS SENIOR,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,14557011,Paul Ryan,carmelreidmourneroad@gmail.com,D12XD51,N,Y,N,No subjects through Irish,Catholic,121.0,5.0,126,D12XD51,53.3301193,-6.318459499999999
